,Symbol,Type,Freq,Emp.p_value,q_value
1000000172_LoF,PID::SYNDECAN-2-PATHWAY,LoF,0.3,0.0,0.0
3265_LoF,HRAS,LoF,0.10625,0.0005,0.0015
7343_Act,UBTF,Act,0.0625,0.0096,0.0144
405_Act,ARNT,Act,0.05,0.0387,0.0387
1000000390_Act,hall::APICAL-JUNCTION,Act,0.4625,0.006,0.5155555555555555
1000000179_Act,PID::TCR-PATHWAY,Act,0.2875,0.024,0.5155555555555555
1000000168_Act,PID::SHP2-PATHWAY,Act,0.28125,0.02,0.5155555555555555
1000000157_Act,PID::RET-PATHWAY,Act,0.28125,0.007,0.5155555555555555
1000000142_Act,PID::PDGFRB-PATHWAY,Act,0.38125,0.032,0.5155555555555555
1000000102_Act,PID::INSULIN-PATHWAY,Act,0.25625,0.032,0.5155555555555555
1000000091_Act,PID::IL2-1PATHWAY,Act,0.275,0.024,0.5155555555555555
1000000085_Act,PID::IGF1-PATHWAY,Act,0.21875,0.025,0.5155555555555555
1000000080_Act,PID::HIF2PATHWAY,Act,0.225,0.024,0.5155555555555555
1000000071_Act,PID::GMCSF-PATHWAY,Act,0.24375,0.018,0.5155555555555555
1000000188_Act,PID::TRKR-PATHWAY,Act,0.28125,0.029,0.5155555555555555
1000000058_Act,PID::ERBB1-RECEPTOR-PROXIMAL-PATHWAY,Act,0.23125,0.028,0.5155555555555555
1000000053_Act,PID::ER-NONGENOMIC-PATHWAY,Act,0.26875,0.01,0.5155555555555555
1000000052_Act,PID::EPO-PATHWAY,Act,0.24375,0.016,0.5155555555555555
1000000032_Act,PID::CD8-TCR-PATHWAY,Act,0.28125,0.019,0.5155555555555555
1000000001_Act,PID::A6B1-A6B4-INTEGRIN-PATHWAY,Act,0.275,0.014,0.5155555555555555
1000000059_Act,PID::ERBB2-ERBB3-PATHWAY,Act,0.2625,0.026,0.5155555555555555
1000000111_Act,PID::KIT-PATHWAY,Act,0.25625,0.039,0.5952631578947368
1000000118_Act,PID::MET-PATHWAY,Act,0.3,0.053,0.6147999999999999
1000000143_Act,PID::PI3K-PLC-TRK-PATHWAY,Act,0.21875,0.048,0.6147999999999999
1000000057_Act,PID::ERBB1-INTERNALIZATION-PATHWAY,Act,0.23125,0.053,0.6147999999999999
1000000415_Act,hall::MITOTIC-SPINDLE,Act,0.425,0.053,0.6147999999999999
1000000119_Act,PID::MTOR-4PATHWAY,Act,0.2875,0.048,0.6147999999999999
1000000400_Act,hall::ESTROGEN-RESPONSE-EARLY,Act,0.43125,0.044,0.6147999999999999
1000000065_Act,PID::FCER1-PATHWAY,Act,0.26875,0.06,0.6476666666666667
1000000151_Act,PID::RAC1-REG-PATHWAY,Act,0.21875,0.067,0.6476666666666667
1000000050_Act,PID::EPHB-FWD-PATHWAY,Act,0.21875,0.066,0.6476666666666667
1000000422_Act,hall::P53-PATHWAY,Act,0.425,0.062,0.6476666666666667
1000000160_Act,PID::RHOA-REG-PATHWAY,Act,0.2375,0.065,0.6476666666666667
1000000428_Act,hall::SPERMATOGENESIS,Act,0.34375,0.085,0.7250000000000001
1000000025_Act,PID::BCR-5PATHWAY,Act,0.25625,0.081,0.7250000000000001
1000000405_Act,hall::HEDGEHOG-SIGNALING,Act,0.2,0.084,0.7250000000000001
1000000425_Act,hall::PI3K-AKT-MTOR-SIGNALING,Act,0.3125,0.082,0.7250000000000001
1000000037_Act,PID::CMYB-PATHWAY,Act,0.2875,0.088,0.7291428571428571
1000000079_Act,PID::HIF1A-PATHWAY,Act,0.15,0.093,0.7491666666666666
1000000395_Act,hall::COAGULATION,Act,0.325,0.175,0.7737788018433178
1000000396_Act,hall::COMPLEMENT,Act,0.375,0.2,0.7737788018433178
1000000397_Act,hall::DNA-REPAIR,Act,0.275,0.525,0.7737788018433178
1000000398_Act,hall::E2F-TARGETS,Act,0.3625,0.273,0.7737788018433178
1000000399_Act,hall::EPITHELIAL-MESENCHYMAL-TRANSITION,Act,0.375,0.21,0.7737788018433178
1000000349_Act,OncoSig::RAPA-EARLY-UP.V1-DN,Act,0.35625,0.207,0.7737788018433178
1000000401_Act,hall::ESTROGEN-RESPONSE-LATE,Act,0.39375,0.119,0.7737788018433178
1000000403_Act,hall::G2M-CHECKPOINT,Act,0.36875,0.214,0.7737788018433178
1000000404_Act,hall::GLYCOLYSIS,Act,0.325,0.483,0.7737788018433178
1000000348_Act,OncoSig::RAF-UP.V1-UP,Act,0.38125,0.155,0.7737788018433178
1000000420_Act,hall::NOTCH-SIGNALING,Act,0.1625,0.184,0.7737788018433178
1000000407_Act,hall::HYPOXIA,Act,0.35625,0.298,0.7737788018433178
1000000409_Act,hall::IL6-JAK-STAT3-SIGNALING,Act,0.23125,0.314,0.7737788018433178
1000000339_Act,OncoSig::PRC2-EZH2-UP.V1-DN,Act,0.31875,0.5,0.7737788018433178
1000000347_Act,OncoSig::RAF-UP.V1-DN,Act,0.33125,0.395,0.7737788018433178
1000000413_Act,hall::KRAS-SIGNALING-DN,Act,0.3375,0.41,0.7737788018433178
1000000414_Act,hall::KRAS-SIGNALING-UP,Act,0.325,0.507,0.7737788018433178
1000000345_Act,OncoSig::PTEN-DN.V2-DN,Act,0.33125,0.156,0.7737788018433178
1000000419_Act,hall::MYOGENESIS,Act,0.35625,0.318,0.7737788018433178
1000000424_Act,hall::PEROXISOME,Act,0.275,0.25,0.7737788018433178
1000000392_Act,hall::APOPTOSIS,Act,0.3,0.427,0.7737788018433178
1000000406_Act,hall::HEME-METABOLISM,Act,0.33125,0.449,0.7737788018433178
1000000340_Act,OncoSig::PRC2-EZH2-UP.V1-UP,Act,0.3125,0.536,0.7737788018433178
1000000382_Act,OncoSig::WNT-UP.V1-DN,Act,0.3375,0.261,0.7737788018433178
1000000341_Act,OncoSig::PRC2-SUZ12-UP.V1-DN,Act,0.325,0.461,0.7737788018433178
1000000354_Act,OncoSig::RB-P107-DN.V1-UP,Act,0.28125,0.331,0.7737788018433178
1000000353_Act,OncoSig::RB-P107-DN.V1-DN,Act,0.24375,0.511,0.7737788018433178
1000000355_Act,OncoSig::RB-P130-DN.V1-DN,Act,0.29375,0.315,0.7737788018433178
1000000352_Act,OncoSig::RB-DN.V1-UP,Act,0.2625,0.39,0.7737788018433178
1000000356_Act,OncoSig::RB-P130-DN.V1-UP,Act,0.26875,0.426,0.7737788018433178
1000000357_Act,OncoSig::RELA-DN.V1-DN,Act,0.3,0.293,0.7737788018433178
1000000358_Act,OncoSig::RELA-DN.V1-UP,Act,0.3,0.372,0.7737788018433178
1000000359_Act,OncoSig::RPS14-DN.V1-DN,Act,0.3,0.551,0.7737788018433178
1000000383_Act,OncoSig::WNT-UP.V1-UP,Act,0.36875,0.16,0.7737788018433178
1000000360_Act,OncoSig::RPS14-DN.V1-UP,Act,0.35,0.309,0.7737788018433178
1000000351_Act,OncoSig::RB-DN.V1-DN,Act,0.25625,0.442,0.7737788018433178
1000000366_Act,OncoSig::SRC-UP.V1-DN,Act,0.30625,0.446,0.7737788018433178
1000000367_Act,OncoSig::SRC-UP.V1-UP,Act,0.30625,0.48,0.7737788018433178
1000000368_Act,OncoSig::STK33-DN,Act,0.3875,0.395,0.7737788018433178
1000000375_Act,OncoSig::TBK1.DF-UP,Act,0.4,0.37,0.7737788018433178
1000000377_Act,OncoSig::TBK1.DN.48HRS-UP,Act,0.20625,0.151,0.7737788018433178
1000000378_Act,OncoSig::TGFB-UP.V1-DN,Act,0.33125,0.392,0.7737788018433178
1000000379_Act,OncoSig::TGFB-UP.V1-UP,Act,0.325,0.405,0.7737788018433178
1000000381_Act,OncoSig::VEGF-A-UP.V1-UP,Act,0.3375,0.378,0.7737788018433178
1000000363_Act,OncoSig::SIRNA-EIF4GI-UP,Act,0.225,0.408,0.7737788018433178
1000000365_Act,OncoSig::SNF5-DN.V1-UP,Act,0.29375,0.557,0.7737788018433178
1000000043_Act,PID::E2F-PATHWAY,Act,0.19375,0.419,0.7737788018433178
1000000432_Act,hall::UV-RESPONSE-DN,Act,0.33125,0.156,0.7737788018433178
1000000140_Act,PID::P75-NTR-PATHWAY,Act,0.19375,0.394,0.7737788018433178
1000000141_Act,PID::PDGFRA-PATHWAY,Act,0.10625,0.407,0.7737788018433178
1000000147_Act,PID::PRL-SIGNALING-EVENTS-PATHWAY,Act,0.09375,0.575,0.7737788018433178
1000000149_Act,PID::PTP1B-PATHWAY,Act,0.18125,0.318,0.7737788018433178
1000000150_Act,PID::RAC1-PATHWAY,Act,0.18125,0.303,0.7737788018433178
1000000154_Act,PID::RB-1PATHWAY,Act,0.19375,0.361,0.7737788018433178
1000000159_Act,PID::RHOA-PATHWAY,Act,0.16875,0.283,0.7737788018433178
1000000169_Act,PID::SMAD2-3NUCLEAR-PATHWAY,Act,0.225,0.343,0.7737788018433178
1000000176_Act,PID::TCPTP-PATHWAY,Act,0.175,0.243,0.7737788018433178
1000000182_Act,PID::TGFBR-PATHWAY,Act,0.1625,0.473,0.7737788018433178
1000000138_Act,PID::P53-REGULATION-PATHWAY,Act,0.175,0.465,0.7737788018433178
1000000186_Act,PID::TOLL-ENDOGENOUS-PATHWAY,Act,0.13125,0.267,0.7737788018433178
1000000211_Act,OncoSig::BCAT-BILD-ET-AL-DN,Act,0.18125,0.225,0.7737788018433178
1000000213_Act,OncoSig::BCAT-GDS748-DN,Act,0.16875,0.293,0.7737788018433178
